,hgnc.symbol,bin.id
COQ8A,COQ8A,1417
CDC42BPA,CDC42BPA,1417
LINC01641,LINC01641,1420
NUCKS1P1,NUCKS1P1,1420
BTF3P9,BTF3P9,1421
TUBB8P10,TUBB8P10,1421
TUBB8P9,TUBB8P9,1421
RNA5SP77,RNA5SP77,1421
ZNF678,ZNF678,1422
FAM133FP,FAM133FP,1422
ZNF847P,ZNF847P,1422
SNAP47,SNAP47,1423
JMJD4,JMJD4,1423
SNAP47-AS1,SNAP47-AS1,1423
PRSS38,PRSS38,1423
WNT9A,WNT9A,1424
MIR5008,MIR5008,1424
CICP26,CICP26,1424
SEPTIN14P17,SEPTIN14P17,1424
WNT3A,WNT3A,1425
LINC02809,LINC02809,1425
ARF1,ARF1,1425
MIR3620,MIR3620,1425
C1orf35,C1orf35,1425
MRPL55,MRPL55,1425
CIAO2AP2,CIAO2AP2,1425
GUK1,GUK1,1426
GJC2,GJC2,1426
IBA57-DT,IBA57-DT,1426
IBA57,IBA57,1426
OBSCN-AS1,OBSCN-AS1,1426
OBSCN,OBSCN,1426
TRIM11,TRIM11,1427
MIR6742,MIR6742,1427
TRIM17,TRIM17,1428
H3-4,H3-4,1428
H2AC25,H2AC25,1428
RPL23AP15,RPL23AP15,1428
H2BC26,H2BC26,1428
MIR4666A,MIR4666A,1428
H2BC27P,H2BC27P,1428
RNF187,RNF187,1428
BTNL10P,BTNL10P,1428
RNA5SP19,RNA5SP19,1429
RNA5SP162,RNA5SP162,1429
RNA5S1,RNA5S1,1429
RNA5S2,RNA5S2,1429
RNA5S3,RNA5S3,1429
RNA5S4,RNA5S4,1429
RNA5S5,RNA5S5,1429
RNA5S6,RNA5S6,1429
RNA5S7,RNA5S7,1429
RNA5S8,RNA5S8,1429
RNA5S9,RNA5S9,1429
RNA5S10,RNA5S10,1429
RNA5S11,RNA5S11,1429
RNA5S12,RNA5S12,1429
RNA5S13,RNA5S13,1429
RNA5S14,RNA5S14,1429
RNA5S15,RNA5S15,1429
RNA5S16,RNA5S16,1429
RNA5S17,RNA5S17,1429
RNA5SP18,RNA5SP18,1429
DUSP5P1,DUSP5P1,1429
FTH1P2,FTH1P2,1429
RHOU,RHOU,1429
LINC02815,LINC02815,1431
ISCA1P2,ISCA1P2,1431
LINC02814,LINC02814,1432
TMEM78,TMEM78,1433
RAB4A-AS1,RAB4A-AS1,1433
RAB4A,RAB4A,1433
CCSAP,CCSAP,1433
RNU6-180P,RNU6-180P,1434
RN7SKP276,RN7SKP276,1434
ACTA1,ACTA1,1434
NUP133,NUP133,1434
NUP133-DT,NUP133-DT,1435
ABCB10,ABCB10,1435
RNU4-21P,RNU4-21P,1435
RNA5SP78,RNA5SP78,1435
HMGN2P19,HMGN2P19,1435
TAF5L,TAF5L,1435
URB2,URB2,1436
HMGB1P26,HMGB1P26,1436
LINC01682,LINC01682,1437
LINC01736,LINC01736,1438
GALNT2,GALNT2,1439
PGBD5,PGBD5,1441
LINC01737,LINC01737,1443
COG2,COG2,1443
AGT,AGT,1443
CAPN9,CAPN9,1444
RNA5SP79,RNA5SP79,1444
C1orf198,C1orf198,1445
RN7SL837P,RN7SL837P,1445
TTC13,TTC13,1445
ARV1,ARV1,1446
FAM89A,FAM89A,1446
MIR1182,MIR1182,1446
TRIM67,TRIM67,1447
TRIM67-AS1,TRIM67-AS1,1447
C1orf131,C1orf131,1447
GNPAT,GNPAT,1448
RNA5SP80,RNA5SP80,1448
EXOC8,EXOC8,1448
SPRTN,SPRTN,1448
EGLN1,EGLN1,1448
SNRPD2P2,SNRPD2P2,1449
TSNAX,TSNAX,1450
TSNAX-DISC1,TSNAX-DISC1,1450
LINC00582,LINC00582,1450
DISC1,DISC1,1450
RNU5A-5P,RNU5A-5P,1451
DISC1-IT1,DISC1-IT1,1452
RN7SL299P,RN7SL299P,1455
SIPA1L2,SIPA1L2,1456
RNU6-1211P,RNU6-1211P,1458
LINC01745,LINC01745,1458
LINC01744,LINC01744,1458
MAP10,MAP10,1459
RNU1-74P,RNU1-74P,1459
NTPCR,NTPCR,1460
PCNX2,PCNX2,1460
RPS7P3,RPS7P3,1462
MAP3K21,MAP3K21,1463
RNU4-77P,RNU4-77P,1464
KCNK1,KCNK1,1465
MIR4427,MIR4427,1465
SLC35F3,SLC35F3,1467
RAC1P7,RAC1P7,1468
SLC35F3-AS1,SLC35F3-AS1,1469
MIR4671,MIR4671,1470
COA6-AS1,COA6-AS1,1470
COA6,COA6,1470
TARBP1,TARBP1,1470
LINC01354,LINC01354,1471
IRF2BP2,IRF2BP2,1472
LINC00184,LINC00184,1472
LINC01132,LINC01132,1473
LINC02961,LINC02961,1473
RNY4P16,RNY4P16,1473
RN7SL668P,RN7SL668P,1474
LINC02971,LINC02971,1474
LNCATV,LNCATV,1474
LINC01348,LINC01348,1475
TOMM20,TOMM20,1475
SNORA14B,SNORA14B,1476
RBM34,RBM34,1476
ARID4B,ARID4B,1476
MIR4753,MIR4753,1476
RPL23AP23,RPL23AP23,1477
GGPS1,GGPS1,1477
TBCE,TBCE,1477
RPS21P1,RPS21P1,1478
B3GALNT2,B3GALNT2,1478
MTCYBP14,MTCYBP14,1478
MTND6P14,MTND6P14,1479
MTND5P19,MTND5P19,1479
MTND4P10,MTND4P10,1479
MTND4LP21,MTND4LP21,1479
MTND3P8,MTND3P8,1479
MTCO3P46,MTCO3P46,1479
GNG4,GNG4,1479
LYST,LYST,1479
LDHAP2,LDHAP2,1480
LYST-AS1,LYST-AS1,1481
MIR1537,MIR1537,1481
RNU6-968P,RNU6-968P,1481
LINC02768,LINC02768,1482
NID1,NID1,1482
GPR137B,GPR137B,1483
ERO1B,ERO1B,1483
RNU2-70P,RNU2-70P,1484
EDARADD,EDARADD,1484
ENO1P1,ENO1P1,1485
LGALS8,LGALS8,1486
LGALS8-AS1,LGALS8-AS1,1486
HEATR1,HEATR1,1486
ACTN2,ACTN2,1487
MTR,MTR,1488
RPSAP21,RPSAP21,1488
RPL35P1,RPL35P1,1489
MT1HL1,MT1HL1,1489
RYR2,RYR2,1489
RN7SKP195,RN7SKP195,1490
MIR4428,MIR4428,1493
ZP4,ZP4,1495
MTCO1P38,MTCO1P38,1496
MTCYBP15,MTCYBP15,1496
MTND6P15,MTND6P15,1496
MTND5P18,MTND5P18,1496
YWHAQP9,YWHAQP9,1497
RNU6-725P,RNU6-725P,1499
LINC01139,LINC01139,1500
KRT18P32,KRT18P32,1500
MIPEPP2,MIPEPP2,1502
CHRM3,CHRM3,1506
CHRM3-AS2,CHRM3-AS2,1509
CHRM3-AS1,CHRM3-AS1,1510
RPS7P5,RPS7P5,1511
FMN2,FMN2,1511
ADH5P3,ADH5P3,1512
GREM2,GREM2,1514
RNU5F-8P,RNU5F-8P,1516
RGS7,RGS7,1516
THAP12P8,THAP12P8,1517
RFKP1,RFKP1,1517
HNRNPA1P42,HNRNPA1P42,1518
MIR3123,MIR3123,1519
RPL36P6,RPL36P6,1520
FH,FH,1522
KMO,KMO,1522
OPN3,OPN3,1522
CHML,CHML,1523
WDR64,WDR64,1523
RPL6P3,RPL6P3,1524
EXO1,EXO1,1524
RPL23AP20,RPL23AP20,1525
BECN2,BECN2,1525
CFL1P4,CFL1P4,1525
MAP1LC3C,MAP1LC3C,1525
TUBB8P6,TUBB8P6,1526
PLD5,PLD5,1526
RN7SKP12,RN7SKP12,1527
RPL10AP5,RPL10AP5,1528
RSL24D1P4,RSL24D1P4,1531
SEPTIN14P21,SEPTIN14P21,1532
CICP21,CICP21,1532
RNU6-747P,RNU6-747P,1532
LINC01347,LINC01347,1532
CEP170,CEP170,1532
SDCCAG8,SDCCAG8,1533
FCF1P7,FCF1P7,1533
MIR4677,MIR4677,1533
AKT3,AKT3,1535
FABP7P1,FABP7P1,1536
AKT3-IT1,AKT3-IT1,1537
LINC02774,LINC02774,1538
ZBTB18,ZBTB18,1539
RN7SL148P,RN7SL148P,1539
C1orf100,C1orf100,1541
TGIF2P1,TGIF2P1,1541
ADSS2,ADSS2,1541
CATSPERE,CATSPERE,1542
CYCSP5,CYCSP5,1543
DESI2,DESI2,1543
COX20,COX20,1544
HNRNPU,HNRNPU,1544
RN7SKP55,RN7SKP55,1545
RNU6-947P,RNU6-947P,1545
EFCAB2,EFCAB2,1545
RNU6-1089P,RNU6-1089P,1546
RNU6-999P,RNU6-999P,1546
RNU1-132P,RNU1-132P,1546
KIF26B,KIF26B,1547
KIF26B-AS1,KIF26B-AS1,1547
DNAJC19P8,DNAJC19P8,1548
SMYD3,SMYD3,1551
SMYD3-AS1,SMYD3-AS1,1554
CHCHD4P5,CHCHD4P5,1554
RNU6-1283P,RNU6-1283P,1554
SMYD3-IT1,SMYD3-IT1,1555
LINC01743,LINC01743,1556
TFB2M,TFB2M,1557
CNST,CNST,1557
RPL7AP82,RPL7AP82,1557
SCCPDH,SCCPDH,1558
RPL35AP6,RPL35AP6,1558
KIF28P,KIF28P,1558
LINC01341,LINC01341,1558
AHCTF1,AHCTF1,1559
ZNF695,ZNF695,1559
ZNF670-ZNF695,ZNF670-ZNF695,1559
ZNF670,ZNF670,1560
ZNF669,ZNF669,1561
LINC02897,LINC02897,1561
FGFR3P6,FGFR3P6,1561
ZNF124,ZNF124,1561
ZNF731P,ZNF731P,1561
MIR3916,MIR3916,1561
RNA5SP82,RNA5SP82,1561
VN1R17P,VN1R17P,1562
VN1R5,VN1R5,1562
ZNF496,ZNF496,1562
ZNF496-DT,ZNF496-DT,1562
NLRP3,NLRP3,1563
OR2B11,OR2B11,1563
OR2W5P,OR2W5P,1563
GCSAML,GCSAML,1563
OR2C3,OR2C3,1564
OR2G2,OR2G2,1564
OR2G3,OR2G3,1564
OR14L1P,OR14L1P,1564
OR3D1P,OR3D1P,1565
OR13G1,OR13G1,1565
OR6F1,OR6F1,1565
OR14A2,OR14A2,1565
OR14K1,OR14K1,1565
OR1C1,OR1C1,1565
OR9H1P,OR9H1P,1565
OR14A16,OR14A16,1566
HSD17B7P1,HSD17B7P1,1566
OR6R1P,OR6R1P,1566
OR11L1,OR11L1,1566
TRIM58,TRIM58,1566
OR2W3,OR2W3,1566
OR2T8,OR2T8,1566
OR2AJ1,OR2AJ1,1566
CLK3P2,CLK3P2,1566
OR2X1P,OR2X1P,1566
OR2L8,OR2L8,1567
OR2AK2,OR2AK2,1567
OR2L9P,OR2L9P,1567
OR2L1P,OR2L1P,1567
OR2L6P,OR2L6P,1567
OR2L5,OR2L5,1567
OR2L2,OR2L2,1567
OR2L3,OR2L3,1567
OR2T32P,OR2T32P,1567
OR2L13,OR2L13,1568
OR2M1P,OR2M1P,1568
OR2M5,OR2M5,1568
OR2M2,OR2M2,1568
OR2M3,OR2M3,1568
OR2M4,OR2M4,1568
OR2T33,OR2T33,1569
OR2T12,OR2T12,1569
OR2M7,OR2M7,1569
OR14C36,OR14C36,1569
OR2T4,OR2T4,1569
OR2T6,OR2T6,1569
OR2T1,OR2T1,1570
OR2T7,OR2T7,1570
OR2T2,OR2T2,1570
OR2T3,OR2T3,1570
OR2T5,OR2T5,1570
OR2AS2P,OR2AS2P,1570
OR2G6,OR2G6,1570
OR2AS1P,OR2AS1P,1570
OR2T29,OR2T29,1570
OR2T34,OR2T34,1570
OR2T10,OR2T10,1570
OR2T11,OR2T11,1570
OR2T35,OR2T35,1571
OR2T27,OR2T27,1571
OR14I1,OR14I1,1571
LYPD9P,LYPD9P,1571
AHCYP8,AHCYP8,1571
LYPD8,LYPD8,1571
DPY19L4P1,DPY19L4P1,1571
SH3BP5L,SH3BP5L,1572
MIR3124,MIR3124,1572
ZNF672,ZNF672,1572
ZNF692,ZNF692,1572
ZNF692-DT,ZNF692-DT,1572
PGBD2,PGBD2,1572
RNU6-1205P,RNU6-1205P,1572
RPL23AP25,RPL23AP25,1572
FAM110C,FAM110C,1573
SH3YL1,SH3YL1,1574
ACP1,ACP1,1574
ALKAL2,ALKAL2,1574
LINC01865,LINC01865,1575
LINC01874,LINC01874,1576
LINC01875,LINC01875,1576
TMEM18,TMEM18,1577
TMEM18-DT,TMEM18-DT,1577
LINC01115,LINC01115,1578
LINC01939,LINC01939,1579
SNTG2-AS1,SNTG2-AS1,1579
SNTG2,SNTG2,1579
TPO,TPO,1582
PXDN,PXDN,1584
MYT1L,MYT1L,1585
MYT1L-AS1,MYT1L-AS1,1589
LINC01250,LINC01250,1593
EIPR1,EIPR1,1595
EIPR1-IT1,EIPR1-IT1,1596
TRAPPC12,TRAPPC12,1597
TRAPPC12-AS1,TRAPPC12-AS1,1597
ADI1,ADI1,1597
RNASEH1,RNASEH1,1598
RNASEH1-DT,RNASEH1-DT,1598
RPS7,RPS7,1598
COLEC11,COLEC11,1598
TMSB4XP2,TMSB4XP2,1598
ALLC,ALLC,1599
GAPDHP48,GAPDHP48,1599
DCDC2C,DCDC2C,1599
LINC01304,LINC01304,1601
NPM1P48,NPM1P48,1605
LINC01249,LINC01249,1606
RNU6-649P,RNU6-649P,1608
LINC01248,LINC01248,1613
SOX11,SOX11,1613
LINC01810,LINC01810,1614
SILC1,SILC1,1615
MIR7158,MIR7158,1615
LINC01247,LINC01247,1618
LINC01824,LINC01824,1619
PIK3CDP1,PIK3CDP1,1619
MIR7515HG,MIR7515HG,1620
MIR7515,MIR7515,1620
LINC00487,LINC00487,1621
NRIR,NRIR,1621
CMPK2,CMPK2,1621
RSAD2,RSAD2,1622
GRASLND,GRASLND,1622
RNF144A,RNF144A,1622
RN7SKP112,RN7SKP112,1624
LINC02973,LINC02973,1625
RNU6ATAC37P,RNU6ATAC37P,1627
LINC01871,LINC01871,1628
LINC00298,LINC00298,1629
LINC00299,LINC00299,1630
LINC01814,LINC01814,1633
SNRPEP5,SNRPEP5,1634
ID2-AS1,ID2-AS1,1635
ID2,ID2,1635
KIDINS220,KIDINS220,1635
MBOAT2,MBOAT2,1636
HMGB1P25,HMGB1P25,1637
RPL30P3,RPL30P3,1638
ASAP2,ASAP2,1639
EIF1P7,EIF1P7,1639
ITGB1BP1,ITGB1BP1,1640
CPSF3,CPSF3,1640
IAH1,IAH1,1641
ADAM17,ADAM17,1641
YWHAQ,YWHAQ,1641
RNU4-73P,RNU4-73P,1643
TAF1B,TAF1B,1643
GRHL1,GRHL1,1644
KLF11,KLF11,1645
CYS1,CYS1,1645
RRM2,RRM2,1645
MIR4261,MIR4261,1646
RN7SL66P,RN7SL66P,1647
HPCAL1,HPCAL1,1647
ODC1,ODC1,1648
SNORA80B,SNORA80B,1648
ODC1-DT,ODC1-DT,1648
NOL10,NOL10,1649
RN7SL832P,RN7SL832P,1649
ATP6V1C2,ATP6V1C2,1650
RNU7-138P,RNU7-138P,1650
PDIA6,PDIA6,1650
RNU7-176P,RNU7-176P,1650
LINC01954,LINC01954,1651
KCNF1,KCNF1,1651
RPL6P4,RPL6P4,1652
C2orf50,C2orf50,1653
SLC66A3,SLC66A3,1653
ROCK2,ROCK2,1653
RNU6-1081P,RNU6-1081P,1653
AIDAP1,AIDAP1,1654
PPIAP60,PPIAP60,1654
LINC03037,LINC03037,1654
LINC00570,LINC00570,1654
E2F6,E2F6,1655
GREB1,GREB1,1655
RNA5SP84,RNA5SP84,1655
MIR4429,MIR4429,1656
RNU2-13P,RNU2-13P,1656
RN7SL674P,RN7SL674P,1656
NTSR2,NTSR2,1656
CDK8P1,CDK8P1,1657
LPIN1,LPIN1,1657
MIR548S,MIR548S,1657
MIR3681HG,MIR3681HG,1658
MIR4262,MIR4262,1658
MIR3681,MIR3681,1660
RNU6-843P,RNU6-843P,1662
TRIB2,TRIB2,1664
MIR3125,MIR3125,1664
LINC00276,LINC00276,1671
RNU6-1288P,RNU6-1288P,1675
LRATD1,LRATD1,1678
NBAS,NBAS,1682
RPS26P18,RPS26P18,1683
DDX1,DDX1,1685
LINC01804,LINC01804,1685
RNU5E-7P,RNU5E-7P,1687
RPLP1P5,RPLP1P5,1687
MYCNOS,MYCNOS,1687
MYCNUT,MYCNUT,1687
MYCN,MYCN,1687
RN7SL104P,RN7SL104P,1687
GACAT3,GACAT3,1688
CYRIA,CYRIA,1692
LINC01866,LINC01866,1695
RN7SKP168,RN7SKP168,1696
ZFYVE9P2,ZFYVE9P2,1697
PSMC1P10,PSMC1P10,1698
RAD51AP2,RAD51AP2,1699
VSNL1,VSNL1,1699
SMC6,SMC6,1700
GEN1,GEN1,1700
MSGN1,MSGN1,1701
KCNS3,KCNS3,1701
RDH14,RDH14,1706
NT5C1B-RDH14,NT5C1B-RDH14,1706
NT5C1B,NT5C1B,1706
RNU6-1215P,RNU6-1215P,1706
LINC01376,LINC01376,1709
MIR4757,MIR4757,1712
OSR1,OSR1,1712
LINC01808,LINC01808,1713
CISD1P1,CISD1P1,1715
LINC00954,LINC00954,1716
TTC32,TTC32,1716
TTC32-DT,TTC32-DT,1716
WDR35,WDR35,1716
WDR35-DT,WDR35-DT,1716
MATN3,MATN3,1717
LAPTM4A,LAPTM4A,1717
LAPTM4A-DT,LAPTM4A-DT,1717
RPS16P2,RPS16P2,1718
RN7SL140P,RN7SL140P,1718
RNU6-961P,RNU6-961P,1718
SDC1,SDC1,1718
DRG1P1,DRG1P1,1718
RNU7-113P,RNU7-113P,1718
PUM2,PUM2,1718
SLC7A15P,SLC7A15P,1719
RNA5SP86,RNA5SP86,1719
RHOB,RHOB,1720
NDUFAF2P1,NDUFAF2P1,1720
HS1BP3,HS1BP3,1721
HS1BP3-IT1,HS1BP3-IT1,1721
RPS25P3,RPS25P3,1721
GDF7,GDF7,1721
LDAH,LDAH,1722
LINC02850,LINC02850,1723
APOB,APOB,1724
TDRD15,TDRD15,1725
NUTF2P8,NUTF2P8,1726
LINC01822,LINC01822,1729
RN7SL117P,RN7SL117P,1730
RNA5SP87,RNA5SP87,1733
LINC01830,LINC01830,1734
LINC01884,LINC01884,1735
RN7SKP27,RN7SKP27,1737
LINC02923,LINC02923,1741
KLHL29,KLHL29,1741
ATAD2B,ATAD2B,1744
PGAM1P6,PGAM1P6,1745
RPS13P4,RPS13P4,1745
UBXN2A,UBXN2A,1745
SDHCP3,SDHCP3,1745
RN7SL610P,RN7SL610P,1745
MFSD2B,MFSD2B,1746
WDCP,WDCP,1746
RNU6-370P,RNU6-370P,1746
FKBP1B,FKBP1B,1746
SF3B6,SF3B6,1746
FAM228B,FAM228B,1746
TP53I3,TP53I3,1746
PFN4,PFN4,1746
FAM228A,FAM228A,1747
ITSN2,ITSN2,1747
HMGN2P20,HMGN2P20,1748
RPL36AP13,RPL36AP13,1748
NCOA1,NCOA1,1749
RNA5SP88,RNA5SP88,1750
RNU6-936P,RNU6-936P,1750
PTRHD1,PTRHD1,1751
CENPO,CENPO,1751
ADCY3,ADCY3,1751
DNAJC27,DNAJC27,1752
RPS13P5,RPS13P5,1753
DNAJC27-AS1,DNAJC27-AS1,1753
EFR3B,EFR3B,1753
RN7SL856P,RN7SL856P,1753
SUCLA2P3,SUCLA2P3,1753
POMC,POMC,1754
LINC01381,LINC01381,1754
DNMT3A,DNMT3A,1754
MIR1301,MIR1301,1755
ARNILA,ARNILA,1755
DTNB,DTNB,1756
DTNB-AS1,DTNB-AS1,1756
ASXL2,ASXL2,1758
TPM3P7,TPM3P7,1759
PTGES3P2,PTGES3P2,1759
NDUFB4P4,NDUFB4P4,1759
KIF3C,KIF3C,1760
UQCRHP2,UQCRHP2,1760
TRMT112P6,TRMT112P6,1760
RAB10,RAB10,1760
RNU6-942P,RNU6-942P,1760
RPS2P15,RPS2P15,1761
EMP2P1,EMP2P1,1761
SMARCE1P6,SMARCE1P6,1761
PPIL1P1,PPIL1P1,1761
GAREM2,GAREM2,1761
HADHA,HADHA,1761
HADHB,HADHB,1762
ADGRF3,ADGRF3,1762
SELENOI,SELENOI,1762
DRC1,DRC1,1763
OTOF,OTOF,1763
FAM166C,FAM166C,1764
CIB4,CIB4,1764
RPL37P11,RPL37P11,1765
KCNK3,KCNK3,1765
SLC35F6,SLC35F6,1766
CENPA,CENPA,1766
CDKN2AIPNLP2,CDKN2AIPNLP2,1766
DPYSL5,DPYSL5,1766
MAPRE3,MAPRE3,1767
MAPRE3-AS1,MAPRE3-AS1,1767
TMEM214,TMEM214,1768
AGBL5,AGBL5,1768
AGBL5-AS1,AGBL5-AS1,1768
AGBL5-IT1,AGBL5-IT1,1768
OST4,OST4,1768
EMILIN1,EMILIN1,1768
KHK,KHK,1768
CGREF1,CGREF1,1768
ABHD1,ABHD1,1768
PREB,PREB,1768
PRR30,PRR30,1768
TCF23,TCF23,1768
SLC5A6,SLC5A6,1769
ATRAID,ATRAID,1769
CAD,CAD,1769
SLC30A3,SLC30A3,1769
DNAJC5G,DNAJC5G,1769
TRIM54,TRIM54,1769
UCN,UCN,1770
MPV17,MPV17,1770
GTF3C2,GTF3C2,1770
GTF3C2-AS1,GTF3C2-AS1,1770
GTF3C2-AS2,GTF3C2-AS2,1770
EIF2B4,EIF2B4,1770
SNX17,SNX17,1770
ZNF513,ZNF513,1770
PPM1G,PPM1G,1770
FTH1P3,FTH1P3,1770
NRBP1,NRBP1,1770
KRTCAP3,KRTCAP3,1771
IFT172,IFT172,1771
RNU6-986P,RNU6-986P,1771
FNDC4,FNDC4,1771
GCKR,GCKR,1771
C2orf16,C2orf16,1771
ZNF512,ZNF512,1772
CCDC121,CCDC121,1772
GPN1,GPN1,1772
SUPT7L,SUPT7L,1772
SLC4A1AP,SLC4A1AP,1772
LINC01460,LINC01460,1772
MRPL33,MRPL33,1773
RBKS,RBKS,1773
BABAM2,BABAM2,1774
MYG1P1,MYG1P1,1774
MIR4263,MIR4263,1775
FAM133EP,FAM133EP,1775
RPL23AP34,RPL23AP34,1777
FOSL2-AS1,FOSL2-AS1,1777
FOSL2,FOSL2,1777
PLB1,PLB1,1778
SNRPGP7,SNRPGP7,1778
RNA5SP89,RNA5SP89,1780
PPP1CB-DT,PPP1CB-DT,1780
PPP1CB,PPP1CB,1780
SPDYA,SPDYA,1780
TRMT61B,TRMT61B,1781
WDR43,WDR43,1781
SNORD92,SNORD92,1781
SNORD53,SNORD53,1781
SNORD53B,SNORD53B,1781
TOGARAM2,TOGARAM2,1782
PCARE,PCARE,1782
CLIP4,CLIP4,1783
ALK,ALK,1783
RN7SL516P,RN7SL516P,1787
YPEL5,YPEL5,1790
SNORA10B,SNORA10B,1791
H3P5,H3P5,1791
LBH,LBH,1791
LINC01936,LINC01936,1792
LCLAT1,LCLAT1,1792
CAPN13,CAPN13,1794
GALNT14,GALNT14,1796
CAPN14,CAPN14,1798
RNA5SP90,RNA5SP90,1798
EHD3,EHD3,1798
XDH,XDH,1799
SRD5A2,SRD5A2,1800
LINC01946,LINC01946,1802
KRT18P52,KRT18P52,1802
AK2P2,AK2P2,1802
MEMO1,MEMO1,1803
DPY30,DPY30,1803
SPAST,SPAST,1804
SLC30A6-DT,SLC30A6-DT,1805
SLC30A6,SLC30A6,1805
DDX50P1,DDX50P1,1805
RNU6-647P,RNU6-647P,1805
NLRC4,NLRC4,1805
YIPF4,YIPF4,1806
BIRC6,BIRC6,1806
BIRC6-AS1,BIRC6-AS1,1806
MIR558,MIR558,1807
BIRC6-AS2,BIRC6-AS2,1808
TTC27,TTC27,1808
MIR4765,MIR4765,1808
LINC00486,LINC00486,1810
LTBP1,LTBP1,1810
H2ACP2,H2ACP2,1811
RNA5SP91,RNA5SP91,1813
RNA5SP92,RNA5SP92,1813
MIR4430,MIR4430,1814
RASGRP3,RASGRP3,1814
FAM98A,FAM98A,1815
ATP6V0E1P3,ATP6V0E1P3,1815
HNRNPA1P61,HNRNPA1P61,1815
LINC01320,LINC01320,1816
MYADML,MYADML,1816
SLC25A5P2,SLC25A5P2,1817
LINC01318,LINC01318,1819
RN7SL602P,RN7SL602P,1824
SMIM7P1,SMIM7P1,1827
MIR548AD,MIR548AD,1829
RNU6-1117P,RNU6-1117P,1829
MRPL50P1,MRPL50P1,1830
RPL21P36,RPL21P36,1835
CRIM1-DT,CRIM1-DT,1835
CRIM1,CRIM1,1835
FEZ2,FEZ2,1836
RACK1P2,RACK1P2,1837
VIT,VIT,1837
STRN,STRN,1838
RNU6-577P,RNU6-577P,1839
HEATR5B,HEATR5B,1839
GPATCH11,GPATCH11,1840
EIF2AK2,EIF2AK2,1840
ARL14EPP1,ARL14EPP1,1841
SULT6B1,SULT6B1,1841
RPL31P16,RPL31P16,1841
CEBPZOS,CEBPZOS,1841
CEBPZ,CEBPZ,1841
NDUFAF7,NDUFAF7,1841
PRKD3,PRKD3,1841
PRKD3-DT,PRKD3-DT,1842
RNU6-939P,RNU6-939P,1842
QPCT,QPCT,1842
RNU6-1116P,RNU6-1116P,1843
CDC42EP3,CDC42EP3,1844
LINC00211,LINC00211,1846
RMDN2,RMDN2,1846
RMDN2-AS1,RMDN2-AS1,1847
CYP1B1,CYP1B1,1847
CYP1B1-AS1,CYP1B1-AS1,1847
RNU6-951P,RNU6-951P,1848
RPL7P12,RPL7P12,1849
GAPDHP25,GAPDHP25,1849
ATL2,ATL2,1849
LINC02613,LINC02613,1850
LINC01883,LINC01883,1850
RPLP0P6,RPLP0P6,1850
HNRNPLL,HNRNPLL,1851
GALM,GALM,1852
SRSF7,SRSF7,1852
GEMIN6,GEMIN6,1852
TTC39DP,TTC39DP,1852
NPLP1,NPLP1,1852
DHX57,DHX57,1853
ASS1P2,ASS1P2,1853
MORN2,MORN2,1853
RNU6-851P,RNU6-851P,1853
ARHGEF33,ARHGEF33,1853
RN7SL96P,RN7SL96P,1854
SOS1,SOS1,1854
SOS1-IT1,SOS1-IT1,1854
RNU6-198P,RNU6-198P,1855
HSPE1P13,HSPE1P13,1855
CDKL4,CDKL4,1855
MAP4K3,MAP4K3,1856
MAP4K3-DT,MAP4K3-DT,1857
TMEM178A,TMEM178A,1859
THUMPD2,THUMPD2,1859
SLC8A1-AS1,SLC8A1-AS1,1860
SLC8A1,SLC8A1,1862
LINC01794,LINC01794,1867
HNRNPA1P57,HNRNPA1P57,1870
LDHAP3,LDHAP3,1875
RPS12P4,RPS12P4,1875
LINC01913,LINC01913,1875
RNU4-63P,RNU4-63P,1875
LINC01914,LINC01914,1875
LINC02898,LINC02898,1875
PKDCC,PKDCC,1876
EML4-AS1,EML4-AS1,1877
EML4,EML4,1877
COX7A2L,COX7A2L,1878
KCNG3,KCNG3,1879
VDAC1P13,VDAC1P13,1879
RPS13P3,RPS13P3,1879
MTA3,MTA3,1879
RNU6-137P,RNU6-137P,1881
OXER1,OXER1,1881
HAAO,HAAO,1881
FTOP1,FTOP1,1882
CHORDC1P1,CHORDC1P1,1882
LINC01819,LINC01819,1883
RNU6-242P,RNU6-242P,1884
LINC02580,LINC02580,1884
ZFP36L2,ZFP36L2,1885
LINC01126,LINC01126,1885
THADA,THADA,1885
RNU6-958P,RNU6-958P,1886
RN7SL531P,RN7SL531P,1887
PLEKHH2,PLEKHH2,1888
C1GALT1C1L,C1GALT1C1L,1888
RN7SKP66,RN7SKP66,1889
DYNC2LI1,DYNC2LI1,1889
ABCG5,ABCG5,1889
ABCG8,ABCG8,1889
LRPPRC,LRPPRC,1889
RNU6-1048P,RNU6-1048P,1890
RN7SL455P,RN7SL455P,1890
RNU6-566P,RNU6-566P,1891
PDSS1P2,PDSS1P2,1892
PPM1B-DT,PPM1B-DT,1892
PPM1B,PPM1B,1892
RPL12P19,RPL12P19,1892
SLC3A1,SLC3A1,1892
PREPL,PREPL,1893
CAMKMT,CAMKMT,1893
LINC01833,LINC01833,1897
SIX3-AS1,SIX3-AS1,1897
SIX3,SIX3,1897
KRTCAP2P1,KRTCAP2P1,1898
SIX2,SIX2,1898
LINC01121,LINC01121,1899
SRBD1,SRBD1,1900
RN7SL414P,RN7SL414P,1902
PRKCE,PRKCE,1902
PRKCE-AS1,PRKCE-AS1,1902
